,Ссылка,Метро,Время до метро,Общая площадь,Жилая площадь,Этаж,Этажность дома,Срок сдачи,Ванная,Ремонт,Цена
113,https://www.cian.ru/rent/flat/275754334/,Бунинская аллея,10.0,34.6,17.0,6.0,16.0,2017.0,1 совмещенный,Евроремонт,34000.0
114,https://www.cian.ru/rent/flat/164750181/,,,40.0,20.0,16.0,17.0,2011.0,1 раздельный,Евроремонт,30000.0
115,https://www.cian.ru/rent/flat/272262503/,Краснопресненская,14.0,65.0,,2.0,13.0,,1 совмещенный,Дизайнерский,270000.0
116,https://www.cian.ru/rent/flat/275634419/,,,30.0,15.0,7.0,7.0,,,Косметический,25000.0
117,https://www.cian.ru/rent/flat/219421779/,Бибирево,12.0,38.0,19.0,17.0,22.0,1984.0,1 раздельный,Евроремонт,35000.0
118,https://www.cian.ru/rent/flat/205905112/,Коломенская,30.0,37.0,20.0,3.0,18.0,2017.0,1 совмещенный,Евроремонт,60000.0
119,https://www.cian.ru/rent/flat/275615387/,Люблино,4.0,33.0,18.0,3.0,5.0,1963.0,1 совмещенный,Косметический,28000.0
120,https://www.cian.ru/rent/flat/193208596/,Текстильщики,8.0,28.0,16.0,7.0,9.0,1974.0,1 совмещенный,Косметический,24000.0
121,https://www.cian.ru/rent/flat/275768203/,Шипиловская,1.0,40.0,19.0,11.0,12.0,1976.0,1 раздельный,Косметический,30000.0
122,https://www.cian.ru/rent/flat/220690285/,Преображенская площадь,6.0,50.0,35.0,10.0,18.0,2017.0,1 совмещенный,Евроремонт,72000.0
123,https://www.cian.ru/rent/flat/275584468/,Фонвизинская,12.0,38.0,18.0,3.0,5.0,1960.0,1 совмещенный,Косметический,35000.0
124,https://www.cian.ru/rent/flat/211515952/,Комсомольская,10.0,38.0,18.0,7.0,16.0,1974.0,1 совмещенный,Евроремонт,58000.0
125,https://www.cian.ru/rent/flat/203125484/,Бульвар Дмитрия Донского,9.0,45.0,21.0,16.0,24.0,2005.0,1 совмещенный,Евроремонт,36999.0
126,https://www.cian.ru/rent/flat/274683287/,Зюзино,9.0,33.0,19.0,1.0,5.0,1963.0,1 совмещенный,Косметический,27000.0
127,https://www.cian.ru/rent/flat/275764954/,Жулебино,6.0,39.0,19.0,12.0,12.0,,1 совмещенный,Косметический,30000.0
128,https://www.cian.ru/rent/flat/275852069/,Строгино,14.0,40.0,18.0,9.0,17.0,2003.0,1 совмещенный,Косметический,32000.0
129,https://www.cian.ru/rent/flat/270726513/,Жулебино,6.0,39.0,19.0,11.0,12.0,,,Косметический,30000.0
130,https://www.cian.ru/rent/flat/274709664/,Окружная,3.0,19.0,,1.0,5.0,1955.0,1 совмещенный,,45000.0
131,https://www.cian.ru/rent/flat/275085832/,Окружная,1.0,37.3,,4.0,5.0,1955.0,1 раздельный,Косметический,40000.0
132,https://www.cian.ru/rent/flat/274503095/,Верхние Лихоборы,3.0,42.0,19.0,13.0,25.0,2018.0,1 раздельный,,55000.0
133,https://www.cian.ru/rent/flat/275565079/,Отрадное,14.0,45.0,18.0,5.0,9.0,1975.0,1 совмещенный,Евроремонт,55000.0
134,https://www.cian.ru/rent/flat/275841676/,Арбатская,9.0,30.0,18.0,21.0,26.0,,1 совмещенный,Евроремонт,95000.0
135,https://www.cian.ru/rent/flat/257380618/,Аэропорт,5.0,32.0,,3.0,15.0,2017.0,1 совмещенный,Дизайнерский,59900.0
136,https://www.cian.ru/rent/flat/274387786/,Авиамоторная,15.0,41.0,17.0,9.0,9.0,2019.0,1 совмещенный,,80000.0
137,https://www.cian.ru/rent/flat/198683121/,Университет,14.0,45.0,30.0,12.0,16.0,1994.0,1 совмещенный,Косметический,45000.0
138,https://www.cian.ru/rent/flat/274976302/,Новаторская,11.0,48.0,22.0,4.0,18.0,1987.0,1 раздельный,,46000.0
139,https://www.cian.ru/rent/flat/250067001/,Румянцево,7.0,36.0,,15.0,25.0,,1 совмещенный,Евроремонт,50000.0
140,https://www.cian.ru/rent/flat/275692510/,Рассказовка,5.0,43.0,21.0,3.0,17.0,2012.0,1 совмещенный,Евроремонт,35000.0
141,https://www.cian.ru/rent/flat/202344942/,Свиблово,5.0,37.0,20.0,5.0,16.0,1982.0,1 совмещенный,Косметический,29000.0
142,https://www.cian.ru/rent/flat/275883426/,Бауманская,10.0,31.0,18.6,2.0,5.0,1959.0,1 совмещенный,Косметический,42000.0
143,https://www.cian.ru/rent/flat/275851434/,улица Народного ополчения,15.0,40.0,20.0,21.0,22.0,2002.0,1 раздельный,Евроремонт,50000.0
144,https://www.cian.ru/rent/flat/247682714/,Долгопрудная,7.0,38.0,,2.0,14.0,2018.0,1 совмещенный,Евроремонт,55000.0
145,https://www.cian.ru/rent/flat/275127100/,Солнцево,4.0,40.0,,12.0,23.0,2020.0,1 совмещенный,Косметический,50000.0
146,https://www.cian.ru/rent/flat/275875856/,,,,,,,,,,
147,https://www.cian.ru/rent/flat/160418567/,Щукинская,11.0,37.0,20.0,11.0,12.0,1966.0,1 совмещенный,Евроремонт,38000.0
148,https://www.cian.ru/rent/flat/274021349/,Савеловская,13.0,40.0,20.0,10.0,16.0,1983.0,1 совмещенный,Косметический,55000.0
149,https://www.cian.ru/rent/flat/262869484/,Солнцево,14.0,39.0,19.0,2.0,23.0,2016.0,1 совмещенный,Евроремонт,40000.0
150,https://www.cian.ru/rent/flat/262238428/,Каширская,14.0,38.0,22.0,8.0,12.0,1984.0,,Косметический,40000.0
151,https://www.cian.ru/rent/flat/185298564/,Молодежная,17.0,30.0,19.0,3.0,4.0,1955.0,1 раздельный,Косметический,40000.0
152,https://www.cian.ru/rent/flat/275759175/,Отрадное,19.0,40.0,21.0,11.0,12.0,1979.0,1 раздельный,Дизайнерский,40000.0
153,https://www.cian.ru/rent/flat/275803748/,Фонвизинская,12.0,37.0,19.0,1.0,5.0,1960.0,1 совмещенный,Косметический,25000.0
154,https://www.cian.ru/rent/flat/241706545/,Щербинка,5.0,41.0,20.0,15.0,17.0,2007.0,1 совмещенный,Евроремонт,28000.0
155,https://www.cian.ru/rent/flat/263852044/,Павелецкая,9.0,37.0,20.0,3.0,9.0,2006.0,1 совмещенный,Евроремонт,50000.0
156,https://www.cian.ru/rent/flat/275140046/,Шелепиха,9.0,26.0,15.0,2.0,28.0,2021.0,1 совмещенный,Дизайнерский,68000.0
